слово idf tf-idf
alaba 2.1172712956557644 0.0010538931287485138
alan 2.1172712956557644 0.0018605195919646435
alchemist 2.1172712956557644 0.0018904207996926468
alexandrrayn 2.1172712956557644 0.001095329175196981
alexeyshum 2.1172712956557644 0.002190658350393962
alexst 2.1172712956557644 0.001095329175196981
alfa 2.1172712956557644 0.0019824637599773075
alien 2.1172712956557644 0.0018605195919646435
aliexpress 2.1172712956557644 0.001637487467637869
alimbekava 2.1172712956557644 0.0012800914725851055
alkmaar 2.1172712956557644 0.0009025026835702321
all 1.6401500409361018 0.012723759141584598
allah 2.1172712956557644 0.0015695117091592027
allstars 2.1172712956557644 0.0008448808043319092
almaty 2.1172712956557644 0.0009025026835702321
alpine 2.1172712956557644 0.0008860729423125191
alyx 2.1172712956557644 0.001973225811421961
am 2.1172712956557644 0.0008860729423125191
amazfit 2.1172712956557644 0.0025346424129957276
amazon 1.816241299991783 0.00278042236729754
ambruaz 2.1172712956557644 0.0010538931287485138
amd 1.816241299991783 0.009775197443989237
america 2.1172712956557644 0.0013299442811908068
amnesty 1.6401500409361018 0.004854415688333204
among 2.1172712956557644 0.0018605195919646435
ampere 2.1172712956557644 0.0013291094134687787
amro 2.1172712956557644 0.0007143290471173294
amи 2.1172712956557644 0.001209869311803294
an 2.1172712956557644 0.002419738623606588
anaisфранция 2.1172712956557644 0.0012800914725851055
anamazingman 2.1172712956557644 0.002271750317227215
and 2.1172712956557644 0.0008472474172291976
anders 2.1172712956557644 0.002190658350393962
andreypin 2.1172712956557644 0.001095329175196981
android 0.9711432599775263 0.019589456329178048
androidкто 2.1172712956557644 0.0020616078828196343
angelina 2.1172712956557644 0.002271750317227215
animal 2.1172712956557644 0.0018904207996926468
anthem 2.1172712956557644 0.0005997935681744375
anton 2.1172712956557644 0.0010538931287485138
anub 2.1172712956557644 0.001095329175196981
ao 1.816241299991783 0.002278854459546129
apart 2.1172712956557644 0.002271750317227215
apex 1.816241299991783 0.003623334342456629
api 2.1172712956557644 0.0023870025881124737
apocalypse 2.1172712956557644 0.0008448808043319092
app 1.816241299991783 0.09671695176699216
appgallery 2.1172712956557644 0.0025346424129957276
apple 1.3391200452721206 0.012385909254266931
appstore 1.816241299991783 0.01871579524448526
appstoregoogle 2.1172712956557644 0.001261782655337166
appstoreria 2.1172712956557644 0.0019899166312554177
april 2.1172712956557644 0.004226090410490548
apсвидетельство 2.1172712956557644 0.0024821468882248116
aq 2.1172712956557644 0.0010120799692427173
aqh` 2.1172712956557644 0.0010120799692427173
ar 2.1172712956557644 0.002035837784284389
arctic 1.816241299991783 0.004567569958557904
are 2.1172712956557644 0.0035229139694771456
arenaland 2.1172712956557644 0.0009141931328392765
argentina 2.1172712956557644 0.0007143290471173294
arm 2.1172712956557644 0.0025346424129957276
armani 2.1172712956557644 0.005485158797035659
armed 2.1172712956557644 0.0011085190029611334
arndгермания 2.1172712956557644 0.0012800914725851055
arrow_drop_down 1.816241299991783 0.00585141159561026
arteezy 2.1172712956557644 0.0018904207996926468
artifact 2.1172712956557644 0.0037808415993852936
artnet 2.1172712956557644 0.0023063957469017043
arts 1.6401500409361018 0.0030331392533648983
artyom 2.1172712956557644 0.0010538931287485138
aso 2.1172712956557644 0.0015955322499289861
asos 2.1172712956557644 0.0038425976327690825
asrock 2.1172712956557644 0.0008860729423125191
assassin 2.1172712956557644 0.0008860729423125191
assassins 2.1172712956557644 0.0017721458846250383
astana 1.816241299991783 0.003959871276730812
aster 2.1172712956557644 0.0037808415993852936
